index,split
0,test
1,train
2,test
3,train
4,test
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,train
14,train
15,train
16,test
17,train
18,train
19,train
20,test
21,train
22,test
23,test
24,test
25,train
26,train
27,test
28,train
29,test
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,val
40,val
41,test
42,val
43,val
44,val
45,train
46,train
47,train
48,val
49,train
50,test
51,train
52,train
53,train
54,train
55,train
56,train
57,train
58,train
59,train
60,train
61,test
62,train
63,train
64,train
65,test
66,train
67,train
68,train
69,train
70,train
71,train
72,train
73,train
74,val
75,train
76,train
77,train
78,train
79,train
80,train
81,test
82,train
83,test
84,train
85,train
86,test
87,train
88,test
89,train
90,val
91,test
92,val
93,train
94,test
95,train
96,train
97,train
98,train
99,train
100,test
101,test
102,train
103,train
104,train
105,train
106,train
107,train
108,val
109,train
110,train
111,train
112,train
113,train
114,test
115,test
116,val
117,train
118,train
119,test
120,train
121,train
122,train
123,train
124,train
125,train
126,train
127,train
128,train
129,train
130,val
131,train
132,train
133,test
134,train
135,train
136,train
137,train
138,train
139,train
140,train
141,train
142,train
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,train
151,val
152,train
153,val
154,train
155,val
156,train
157,train
158,train
159,train
160,train
161,train
162,train
163,train
164,test
165,train
166,train
167,test
168,test
169,train
170,train
171,train
172,train
173,train
174,train
175,test
176,train
177,train
178,train
179,val
180,train
181,train
182,test
183,train
184,train
185,train
186,test
187,train
188,train
189,train
190,train
191,test
192,train
193,train
194,train
195,train
196,train
197,val
198,train
199,test
200,train
201,train
202,train
203,train
204,train
205,train
206,val
207,train
208,train
209,train
210,train
211,train
212,train
213,val
214,test
215,train
216,test
217,test
218,train
219,test
220,train
221,train
222,train
223,val
224,train
225,train
226,train
227,train
228,train
229,train
230,val
231,train
232,train
233,train
234,train
235,train
236,train
237,test
238,train
239,train
240,train
241,train
242,train
243,train
244,train
245,train
246,test
247,test
248,test
249,test
250,train
251,train
252,train
253,train
254,test
255,test
256,train
257,train
258,train
259,test
260,train
261,train
262,train
263,train
264,val
265,train
266,train
267,train
268,val
269,val
270,train
271,val
272,val
273,train
274,val
275,train
276,val
277,test
278,train
279,train
280,train
281,train
282,train
283,train
284,train
285,train
286,train
287,train
288,train
289,test
290,val
291,val
292,val
293,val
294,val
295,train
296,train
297,test
298,val
299,test
300,train
301,train
302,train
303,train
304,val
305,train
306,train
307,train
308,train
309,val
310,train
311,test
312,train
313,train
314,train
315,train
316,train
317,train
318,train
319,train
320,val
321,train
322,train
323,train
324,train
325,train
326,train
327,train
328,train
329,test
330,train
331,train
332,train
333,val
334,train
335,train
336,train
337,train
338,train
339,train
340,val
341,train
342,train
343,train
344,train
345,train
346,train
347,train
348,test
349,test
350,test
351,test
352,train
353,train
354,val
355,train
356,train
357,train
358,test
359,test
360,train
361,train
362,test
363,val
364,val
365,test
366,train
367,train
368,train
369,train
370,train
371,train
372,train
373,train
374,train
375,train
376,train
377,train
378,train
379,test
380,test
381,val
382,train
383,train
384,train
385,test
386,val
387,test
388,val
389,train
390,test
391,test
392,train
393,test
394,test
395,train
396,train
397,val
398,train
399,train
400,train
401,train
402,test
403,test
404,val
405,train
406,train
407,train
408,train
409,train
410,train
411,train
412,train
413,train
414,train
415,train
416,train
417,val
418,train
419,train
420,train
421,train
422,train
423,test
424,train
425,train
426,test
427,val
428,train
429,train
430,train
431,train
432,val
433,train
434,train
435,train
436,train
437,train
438,train
439,train
440,val
441,train
442,train
443,train
444,train
445,test
446,train
447,train
448,train
449,train
450,train
451,test
452,test
453,train
454,train
455,train
456,train
457,train
458,train
459,train
460,train
461,train
462,train
463,train
464,test
465,train
466,train
467,train
468,train
469,test
470,train
471,train
472,train
473,val
474,train
475,train
476,train
477,train
478,train
479,train
480,test
481,train
482,train
483,val
484,train
485,train
486,val
487,test
488,train
489,train
490,val
491,train
492,train
493,test
494,train
495,train
496,train
497,train
498,train
499,train
500,val
501,val
502,val
503,test
504,train
505,train
506,train
507,train
508,train
509,train
510,train
511,train
512,train
513,train
514,train
515,train
516,train
517,val
518,train
519,test
520,train
521,train
522,test
523,train
524,test
525,val
526,train
527,train
528,train
529,train
530,train
531,test
532,train
533,train
534,train
535,train
536,train
537,train
538,test
539,test
540,train
541,train
542,val
543,train
544,train
545,train
546,train
547,train
548,train
549,train
550,train
551,train
552,val
553,val
554,train
555,train
556,train
557,train
558,train
559,train
560,train
561,train
562,train
563,train
564,train
565,train
566,train
567,train
568,train
569,train
570,test
571,train
572,train
573,test
574,val
575,test
576,train
577,val
578,train
579,train
580,test
581,train
582,train
583,train
584,train
585,train
586,train
587,train
588,train
589,train
590,train
591,train
592,train
593,train
594,train
595,train
596,train
597,train
598,test
599,val
600,train
601,train
602,train
603,train
604,train
605,train
606,train
607,train
608,train
609,val
610,train
611,train
612,train
613,train
614,train
615,test
616,train
617,test
618,train
619,test
620,test
621,train
622,train
623,train
624,test
625,train
626,train
627,train
628,train
629,train
630,train
631,val
632,val
633,train
634,train
635,train
636,test
637,test
638,val
639,train
640,train
641,test
642,train
643,train
644,test
645,test
646,train
647,train
648,train
649,train
650,train
651,train
652,test
653,test
654,train
655,train
656,train
657,train
658,train
659,train
660,train
661,train
662,train
663,train
664,train
665,test
666,train
667,train
668,train
669,train
670,train
671,train
672,train
673,train
674,test
675,train
676,train
677,train
678,test
679,train
680,train
681,train
682,val
683,val
684,train
685,train
686,train
687,train
688,train
689,train
690,train
691,test
692,train
693,train
694,train
695,test
696,val
697,train
698,train
699,test
700,train
701,train
702,test
703,train
704,test
705,train
706,train
707,train
708,test
709,train
710,train
711,val
712,test
713,val
714,val
715,train
716,test
717,train
718,train
719,train
720,train
721,val
722,train
723,train
724,test
725,test
726,train
727,train
728,test
729,test
730,test
731,val
732,train
733,train
734,train
735,train
736,train
737,val
738,test
739,test
740,val
741,train
742,train
743,train
744,train
745,train
746,train
747,train
748,train
749,test
750,train
751,train
752,train
753,train
754,val
755,train
756,train
757,train
758,train
759,test
760,train
761,val
762,train
763,test
764,train
765,train
766,train
767,train
768,train
769,train
770,test
771,train
772,train
773,train
774,train
775,test
776,train
777,train
778,val
779,val
780,train
781,train
782,train
783,train
784,train
785,train
786,train
787,train
788,test
789,train
790,train
791,train
792,val
793,train
794,test
795,test
796,test
797,train
798,test
799,train
800,train
801,train
802,train
803,train
804,train
805,train
806,val
807,train
808,train
809,train
810,test
811,test
812,test
813,test
814,val
815,train
816,train
817,train
818,train
819,train
820,train
821,train
822,val
823,train
824,val
825,train
826,test
827,test
828,train
829,train
830,train
831,train
832,train
833,train
834,train
835,train
836,train
837,train
838,train
839,train
840,train
841,train
842,train
843,train
844,train
845,train
846,train
847,train
848,train
849,train
850,train
851,train
852,train
853,train
854,train
855,test
856,train
857,train
858,train
859,train
860,train
861,train
862,train
863,train
864,train
865,train
866,train
867,train
868,train
869,train
870,test
871,train
