index,split
0,train
1,val
2,test
3,test
4,train
5,train
6,train
7,train
8,test
9,train
10,train
11,train
12,train
13,train
14,val
15,train
16,test
17,test
18,train
19,train
20,train
21,train
22,train
23,train
24,train
25,val
26,train
27,train
28,train
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,test
40,train
41,train
42,train
43,train
44,train
45,train
46,test
47,test
48,train
49,train
50,train
51,test
52,train
53,val
54,train
55,train
56,train
57,train
58,test
59,train
60,test
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,train
70,train
71,train
72,train
73,test
74,train
75,train
76,train
77,test
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,test
89,train
90,train
91,train
92,val
93,train
94,train
95,train
96,test
97,train
98,train
99,test
100,train
101,train
102,train
103,train
104,train
105,train
106,test
107,train
108,train
109,train
110,train
111,test
112,train
113,test
114,train
115,train
116,train
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,train
127,train
128,train
129,train
130,train
131,train
132,train
133,val
134,train
135,test
136,train
137,val
138,train
139,test
140,test
141,train
142,train
143,val
144,train
145,train
146,test
147,train
148,train
149,val
150,train
151,train
152,train
153,train
154,train
155,train
156,train
157,train
158,test
159,train
160,train
161,train
162,train
163,train
164,train
165,val
166,train
167,train
168,val
169,train
170,train
171,train
172,train
173,train
174,train
175,train
176,train
177,train
178,train
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,train
193,test
194,val
195,train
196,train
197,val
198,train
199,train
200,train
201,train
202,train
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,train
211,train
212,train
213,test
214,train
215,val
216,train
217,train
218,train
219,train
220,val
221,train
222,train
223,train
224,test
225,train
226,train
227,train
228,train
229,train
230,train
231,train
232,train
233,train
234,train
235,train
236,train
237,train
238,val
239,train
240,train
241,train
242,train
243,train
244,train
245,train
246,train
247,val
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,test
256,train
257,train
258,train
259,val
260,train
261,train
262,test
263,train
264,train
265,test
266,train
267,train
268,train
269,train
270,train
271,test
272,train
273,train
274,train
275,train
276,train
277,train
278,train
279,train
280,train
281,val
282,train
283,train
284,train
285,train
286,train
287,train
288,train
289,train
290,test
291,train
292,train
293,val
294,train
295,train
296,test
297,train
298,train
299,train
300,train
301,train
302,train
303,train
304,train
305,train
306,train
307,train
308,train
309,train
310,train
311,train
312,val
313,train
314,train
315,train
316,train
317,train
318,train
319,train
320,train
321,test
322,val
323,test
324,train
325,val
326,train
327,train
328,train
329,train
330,val
331,train
332,train
333,train
334,train
335,train
336,train
337,val
338,train
339,val
340,test
341,train
342,test
343,train
344,train
345,train
346,train
347,train
348,train
349,train
350,val
351,train
352,train
353,train
354,train
355,val
356,train
357,train
358,train
359,test
360,test
361,val
362,train
363,train
364,train
365,train
366,train
367,train
368,train
369,train
370,train
371,test
372,train
373,train
374,train
375,train
376,train
377,train
378,train
379,train
380,test
381,train
382,train
383,val
384,train
385,train
386,train
387,train
388,train
389,train
390,test
391,train
392,train
393,train
394,train
395,train
396,train
397,train
398,train
399,train
400,train
401,val
402,train
403,train
404,train
405,val
406,train
407,val
408,train
409,train
410,train
411,test
412,test
413,train
414,train
415,train
416,train
417,train
418,train
419,train
420,test
421,train
422,val
423,train
424,test
425,train
426,train
427,train
428,train
429,train
430,train
431,train
432,val
433,train
434,test
435,train
436,train
437,train
438,test
439,val
440,train
441,val
442,val
443,train
444,train
445,train
446,train
447,train
448,train
449,train
450,train
451,test
452,train
