index,split
0,train
1,train
2,test
3,test
4,test
5,train
6,train
7,train
8,train
9,test
10,train
11,test
12,val
13,train
14,train
15,test
16,val
17,test
18,train
19,train
20,train
21,train
22,val
23,train
24,train
25,train
26,train
27,val
28,train
29,train
30,train
31,train
32,train
33,train
34,test
35,train
36,train
37,train
38,val
39,train
40,test
41,train
42,train
43,train
44,val
45,test
46,train
47,test
48,val
49,train
50,train
51,train
52,train
53,val
54,test
55,train
56,test
57,test
58,train
59,train
60,train
61,train
62,train
63,train
64,train
65,train
66,train
67,val
68,test
69,train
70,train
71,train
72,train
73,train
74,train
75,train
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,train
84,test
85,train
86,val
87,train
88,train
89,val
90,test
91,val
92,train
93,train
94,val
95,val
96,train
97,train
98,train
99,train
100,train
101,train
102,train
103,train
104,train
105,test
106,train
107,train
108,train
109,test
110,test
111,val
112,train
113,train
114,test
115,train
116,train
117,train
118,val
119,train
120,train
121,test
122,train
123,train
124,train
125,train
126,train
127,train
128,train
129,train
130,train
131,train
132,train
133,train
134,train
135,train
136,train
137,train
138,test
139,train
140,test
141,train
142,train
143,train
144,train
145,train
146,val
147,test
148,train
149,train
150,train
151,val
152,train
153,train
154,train
155,train
156,train
157,val
158,train
159,val
160,train
161,test
162,val
163,train
164,train
165,train
166,train
167,train
168,train
169,train
170,train
171,test
172,train
173,train
174,train
175,train
176,train
177,train
178,train
179,train
180,train
181,train
182,train
183,test
184,val
185,train
186,val
187,train
188,val
189,val
190,test
191,train
192,test
193,train
194,train
195,train
196,train
197,train
198,train
199,train
200,train
201,train
202,train
203,train
204,train
205,train
206,train
207,train
208,test
209,train
210,test
211,train
212,train
213,test
214,train
215,train
216,train
217,train
218,train
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,test
232,test
233,train
234,train
235,train
236,train
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,test
257,train
258,val
259,val
260,val
261,train
262,train
263,test
264,test
265,test
266,train
267,train
268,train
269,val
270,train
271,train
