dataset,task,RandomForest_random_mean,RandomForest_random_sd,RandomForest_scaffold_mean,RandomForest_scaffold_sd,XGBoost_random_mean,XGBoost_random_sd,XGBoost_scaffold_mean,XGBoost_scaffold_sd,MLP_random_mean,MLP_random_sd,MLP_scaffold_mean,MLP_scaffold_sd,GNN_random_mean,GNN_random_sd,GNN_scaffold_mean,GNN_scaffold_sd,all_random_mean,all_scaffold_mean,drop
tox21,NR-AR,0.7815,0.021,0.8109,0.1126,0.7896,0.0136,0.7882,0.1247,0.7877,0.0455,0.7638,0.157,0.7889,0.009,0.7948,0.1133,0.7869,0.7894,0.0025
tox21,NR-AR-LBD,0.918,0.0283,0.8626,0.093,0.8751,0.0553,0.7999,0.0932,0.8981,0.0064,0.8391,0.0623,0.8821,0.0436,0.7922,0.1337,0.8933,0.8235,-0.0699
tox21,NR-AhR,0.8502,0.0164,0.8113,0.0271,0.8423,0.0188,0.7932,0.029,0.8311,0.0295,0.7631,0.0333,0.8575,0.0181,0.7999,0.0257,0.8453,0.7919,-0.0534
tox21,NR-Aromatase,0.7569,0.0478,0.6739,0.0577,0.77,0.0492,0.6456,0.0545,0.7593,0.0435,0.6429,0.0266,0.7974,0.0198,0.6988,0.0439,0.7709,0.6653,-0.1056
tox21,NR-ER,0.7176,0.0197,0.6645,0.0368,0.7013,0.0199,0.6439,0.038,0.7192,0.0218,0.6461,0.037,0.7344,0.0339,0.6757,0.0543,0.7181,0.6575,-0.0606
tox21,NR-ER-LBD,0.794,0.0219,0.7645,0.0774,0.8017,0.0448,0.7111,0.058,0.7923,0.0451,0.7491,0.056,0.804,0.0241,0.7318,0.0554,0.798,0.7391,-0.0589
tox21,NR-PPAR-gamma,0.8352,0.0593,0.7746,0.0532,0.796,0.0544,0.6858,0.0437,0.7937,0.0606,0.7152,0.0863,0.8445,0.0408,0.7103,0.0718,0.8174,0.7215,-0.0959
tox21,SR-ARE,0.759,0.0161,0.6977,0.0378,0.7062,0.0411,0.6591,0.0202,0.7366,0.0275,0.7065,0.031,0.7825,0.0395,0.7252,0.0317,0.7461,0.6971,-0.049
tox21,SR-ATAD5,0.8456,0.0323,0.7487,0.0323,0.8291,0.05,0.6751,0.0976,0.8362,0.0482,0.7156,0.0407,0.8833,0.0315,0.7399,0.0595,0.8485,0.7198,-0.1287
tox21,SR-HSE,0.7257,0.0382,0.6733,0.0399,0.7014,0.0408,0.6741,0.0384,0.7296,0.0257,0.7067,0.0562,0.7597,0.0199,0.7362,0.0416,0.7291,0.6976,-0.0315
tox21,SR-MMP,0.8365,0.0087,0.7616,0.0221,0.8282,0.0142,0.7385,0.0509,0.8327,0.0108,0.7338,0.0415,0.8701,0.0081,0.7984,0.0313,0.8419,0.7581,-0.0838
tox21,SR-p53,0.8242,0.0331,0.7183,0.0198,0.8055,0.0299,0.6858,0.0445,0.774,0.0187,0.6972,0.0265,0.8207,0.0332,0.7283,0.0368,0.8061,0.7074,-0.0987
clintox,FDA_APPROVED,0.3462,0.1096,0.6148,0.2113,0.6177,0.1412,0.7033,0.1352,0.343,0.1887,0.5682,0.1755,0.5622,0.1536,0.6944,0.13,0.4673,0.6452,0.1779
clintox,CT_TOX,0.4285,0.0929,0.543,0.1469,0.6372,0.1156,0.6542,0.1623,0.4401,0.0681,0.4998,0.1006,0.5157,0.0914,0.6563,0.0541,0.5054,0.5883,0.083
sider,Hepatobiliary disorders,0.7325,0.0342,0.7013,0.0678,0.7085,0.02,0.6765,0.0249,0.6927,0.0263,0.6802,0.0241,0.6551,0.0216,0.6688,0.0499,0.6972,0.6817,-0.0155
