dataset,task,RandomForest_random_mean,RandomForest_random_sd,RandomForest_scaffold_mean,RandomForest_scaffold_sd,XGBoost_random_mean,XGBoost_random_sd,XGBoost_scaffold_mean,XGBoost_scaffold_sd,MLP_random_mean,MLP_random_sd,MLP_scaffold_mean,MLP_scaffold_sd,GNN_random_mean,GNN_random_sd,GNN_scaffold_mean,GNN_scaffold_sd,all_random_mean,all_scaffold_mean,drop
tox21,NR-AR,0.4976,0.043,0.5111,0.2233,0.5173,0.0256,0.503,0.224,0.5146,0.0345,0.448,0.2482,0.5041,0.031,0.4841,0.2265,0.5084,0.4865,-0.0219
tox21,NR-AR-LBD,0.6578,0.0506,0.4924,0.2397,0.5858,0.1019,0.4182,0.2054,0.5921,0.0077,0.44,0.2233,0.6419,0.0667,0.4355,0.2181,0.6194,0.4465,-0.1729
tox21,NR-AhR,0.4199,0.0236,0.4037,0.0647,0.4476,0.0496,0.3844,0.0459,0.4598,0.0734,0.3381,0.1071,0.4812,0.0555,0.3788,0.0662,0.4521,0.3763,-0.0758
tox21,NR-Aromatase,0.2403,0.0725,0.1218,0.0166,0.2481,0.0735,0.1413,0.0466,0.2397,0.0602,0.1271,0.0424,0.2605,0.061,0.1615,0.0477,0.2472,0.1379,-0.1092
tox21,NR-ER,0.3023,0.0357,0.2881,0.0745,0.3565,0.0459,0.3006,0.0929,0.3555,0.0413,0.2835,0.0961,0.4092,0.0319,0.3185,0.1068,0.3559,0.2977,-0.0582
tox21,NR-ER-LBD,0.3511,0.0472,0.3654,0.1561,0.425,0.0804,0.3691,0.1444,0.4344,0.0885,0.3208,0.1495,0.4344,0.0792,0.3629,0.1166,0.4112,0.3546,-0.0567
tox21,NR-PPAR-gamma,0.3528,0.0947,0.2146,0.0598,0.314,0.1245,0.1365,0.0393,0.258,0.0997,0.1307,0.0268,0.3741,0.0702,0.1191,0.0264,0.3247,0.1502,-0.1745
tox21,SR-ARE,0.3421,0.0471,0.2857,0.0512,0.276,0.0726,0.2548,0.0485,0.3157,0.0499,0.2928,0.0734,0.3627,0.0818,0.2889,0.0507,0.3241,0.2806,-0.0436
tox21,SR-ATAD5,0.3063,0.0853,0.1064,0.0113,0.2888,0.0579,0.0979,0.0289,0.2474,0.0544,0.095,0.0229,0.3819,0.0941,0.1388,0.0193,0.3061,0.1095,-0.1965
tox21,SR-HSE,0.1638,0.0282,0.1221,0.0362,0.1983,0.0629,0.1169,0.0306,0.1786,0.0598,0.1569,0.0735,0.2655,0.0821,0.1805,0.0752,0.2015,0.1441,-0.0574
tox21,SR-MMP,0.4745,0.0273,0.3707,0.0906,0.4987,0.0305,0.3588,0.0961,0.4771,0.0254,0.3267,0.0998,0.56,0.0365,0.4239,0.1098,0.5026,0.37,-0.1326
tox21,SR-p53,0.3044,0.0525,0.2384,0.0667,0.278,0.03,0.179,0.0464,0.2688,0.0415,0.186,0.0718,0.2906,0.0608,0.2203,0.0859,0.2854,0.2059,-0.0795
