dataset,split,seed,n_test,nn_mean,nn_median,pct_gt_0p4,pct_gt_0p6,pct_gt_0p8
tox21,random,42,755,0.5753,0.5714,81.7,43.6,9.5
tox21,random,123,755,0.5842,0.5789,81.9,44.2,12.1
tox21,random,456,755,0.5834,0.5833,82.3,44.2,11.5
tox21,random,789,755,0.585,0.566,84.0,42.8,12.7
tox21,random,1337,755,0.5855,0.5789,82.1,44.9,12.5
tox21,scaffold,42,755,0.4732,0.4615,66.2,18.1,2.0
tox21,scaffold,123,758,0.4795,0.4691,65.7,19.5,3.2
tox21,scaffold,456,2056,0.3442,0.3255,27.8,3.1,0.5
tox21,scaffold,789,755,0.4622,0.4478,60.4,17.9,2.1
tox21,scaffold,1337,755,0.4509,0.4222,56.4,17.7,1.6
clintox,random,42,139,0.4937,0.4906,60.4,34.5,5.0
clintox,random,123,139,0.5001,0.4694,57.6,32.4,9.4
clintox,random,456,139,0.48,0.4694,56.8,30.9,5.8
clintox,random,789,139,0.4909,0.47,60.4,35.3,9.4
clintox,random,1337,139,0.4934,0.4583,55.4,31.7,8.6
clintox,scaffold,42,141,0.4277,0.403,51.1,17.0,2.8
clintox,scaffold,123,139,0.4288,0.3906,48.2,18.0,0.7
clintox,scaffold,456,253,0.3321,0.2857,28.5,8.7,0.8
clintox,scaffold,789,139,0.4361,0.4333,54.0,13.7,1.4
clintox,scaffold,1337,139,0.4385,0.4186,52.5,18.7,2.9
sider,random,42,135,0.48,0.4474,57.8,31.9,9.6
sider,random,123,135,0.4541,0.4026,50.4,28.1,5.9
sider,random,456,135,0.4718,0.4409,55.6,31.1,6.7
sider,random,789,135,0.4421,0.403,50.4,28.1,5.2
sider,random,1337,135,0.4957,0.4468,58.5,35.6,10.4
sider,scaffold,42,139,0.406,0.3818,46.0,13.7,3.6
sider,scaffold,123,135,0.4256,0.4,49.6,17.0,1.5
sider,scaffold,456,135,0.4511,0.4143,51.9,28.1,4.4
sider,scaffold,789,135,0.4115,0.3846,42.2,14.1,2.2
sider,scaffold,1337,138,0.4413,0.4353,58.7,15.9,0.7
