dataset,split,bin,n_seeds_with_value,auroc_mean,auroc_sd,auroc_mean_pm_sd
tox21,random,0.0-0.2,1,0.7675,0.0,0.767±0.000
tox21,random,0.2-0.4,5,0.67678,0.052665,0.677±0.053
tox21,random,0.4-0.6,5,0.80444,0.032021,0.804±0.032
tox21,random,0.6-0.8,5,0.81794,0.023872,0.818±0.024
tox21,random,0.8-1.0,5,0.84718,0.052219,0.847±0.052
tox21,scaffold,0.0-0.2,3,0.652733,0.204709,0.653±0.205
tox21,scaffold,0.2-0.4,5,0.69032,0.027006,0.690±0.027
tox21,scaffold,0.4-0.6,5,0.7523,0.025617,0.752±0.026
tox21,scaffold,0.6-0.8,5,0.78316,0.090803,0.783±0.091
tox21,scaffold,0.8-1.0,5,0.73918,0.083614,0.739±0.084
clintox,random,0.0-0.2,2,0.1111,0.157119,0.111±0.157
clintox,random,0.2-0.4,4,0.336875,0.10996,0.337±0.110
clintox,random,0.4-0.6,2,0.1414,0.180312,0.141±0.180
clintox,random,0.6-0.8,4,0.741925,0.300678,0.742±0.301
clintox,random,0.8-1.0,2,0.2396,0.162069,0.240±0.162
clintox,scaffold,0.0-0.2,1,0.3077,0.0,0.308±0.000
clintox,scaffold,0.2-0.4,5,0.53374,0.141306,0.534±0.141
clintox,scaffold,0.4-0.6,2,0.18045,0.15422,0.180±0.154
clintox,scaffold,0.6-0.8,3,0.7951,0.171276,0.795±0.171
clintox,scaffold,0.8-1.0,0,,,
sider,random,0.0-0.2,5,0.6793,0.091088,0.679±0.091
sider,random,0.2-0.4,5,0.59834,0.029283,0.598±0.029
sider,random,0.4-0.6,5,0.651,0.013897,0.651±0.014
sider,random,0.6-0.8,5,0.70948,0.095407,0.709±0.095
sider,random,0.8-1.0,5,0.80382,0.063618,0.804±0.064
sider,scaffold,0.0-0.2,2,0.4056,0.079479,0.406±0.079
sider,scaffold,0.2-0.4,5,0.60276,0.027655,0.603±0.028
sider,scaffold,0.4-0.6,5,0.68682,0.026004,0.687±0.026
sider,scaffold,0.6-0.8,5,0.70816,0.069233,0.708±0.069
sider,scaffold,0.8-1.0,2,0.6111,0.019658,0.611±0.020
