dataset,split,coverage_pct,n_seeds_with_value,auroc_mean,auroc_sd,auroc_mean_pm_sd
tox21,random,25,5,0.66428,0.063614,0.664±0.064
tox21,random,50,5,0.71972,0.048731,0.720±0.049
tox21,random,75,5,0.7548,0.022977,0.755±0.023
tox21,random,100,5,0.80406,0.007153,0.804±0.007
tox21,scaffold,25,5,0.62772,0.084082,0.628±0.084
tox21,scaffold,50,5,0.68254,0.061891,0.683±0.062
tox21,scaffold,75,5,0.70292,0.042484,0.703±0.042
tox21,scaffold,100,5,0.74984,0.026182,0.750±0.026
clintox,random,25,5,0.553,0.107386,0.553±0.107
clintox,random,50,5,0.427,0.1144,0.427±0.114
clintox,random,75,5,0.42136,0.141294,0.421±0.141
clintox,random,100,5,0.42038,0.077062,0.420±0.077
clintox,scaffold,25,4,0.5804,0.135859,0.580±0.136
clintox,scaffold,50,5,0.5959,0.230425,0.596±0.230
clintox,scaffold,75,5,0.56736,0.189909,0.567±0.190
clintox,scaffold,100,5,0.59406,0.172722,0.594±0.173
sider,random,25,5,0.7216,0.085688,0.722±0.086
sider,random,50,5,0.69552,0.050076,0.696±0.050
sider,random,75,5,0.67162,0.043729,0.672±0.044
sider,random,100,5,0.66344,0.033039,0.663±0.033
sider,scaffold,25,5,0.66346,0.018092,0.663±0.018
sider,scaffold,50,5,0.65702,0.016291,0.657±0.016
sider,scaffold,75,5,0.64156,0.021031,0.642±0.021
sider,scaffold,100,5,0.63882,0.017943,0.639±0.018
